serial_number,item_name,item_description,item_specification,item_quantity,item_deadline
SN-0001,Gear Assembly Type A1,precision-cut gear assembly for the primary conveyor drive stage,Material=Alloy Steel; Teeth=32; Module=2.5; Diameter=80mm; Finish=Heat Treated,150,2026-03-01
SN-0002,Conveyor Belt Type C2,continuous rubber belt for the packaging line outfeed conveyor,Material=Reinforced Rubber; Length=18m; Width=800mm; Thickness=8mm; Ply=4,40,2026-03-02
SN-0003,Optical Sensor Module OSM-3,reflective optical sensor assembly used for carton detection at the infeed,Voltage=24VDC; Range=0.2-2.0m; Output=PNP NO; IP Rating=IP65,75,2026-03-03
SN-0004,Control Panel CP-4,main control panel for the batch mixer line including PLC and HMI,Enclosure=MS Powder Coated; PLC=32 I/O; HMI=7 inch; Supply=415VAC,6,2026-03-04
SN-0005,Induction Motor Assembly IM-5,three-phase induction motor supplied with mounting brackets and terminal box,Power=5kW; Voltage=415VAC; Speed=1440rpm; Frame=112M; Protection=IP55,24,2026-03-05
SN-0006,Pneumatic Cylinder PC-6,double-acting pneumatic cylinder used in the pusher mechanism on the packaging line,Bore=50mm; Stroke=200mm; Pressure=6bar; Mounting=Front Flange,60,2026-03-06
SN-0007,Valve Manifold VM-7,solenoid valve manifold used for the pneumatic control circuits of the new filling line,Stations=8; Voltage=24VDC; Port Size=1/4 inch; Body=Aluminum,18,2026-03-07
SN-0008,Stainless Steel Tank ST-8,mixing tank for liquid ingredients with a top-mounted agitator and cleanable interior,Capacity=1000L; Grade=SS304; Thickness=4mm; Finish=Sanitary,3,2026-03-08
SN-0009,Agitator Shaft AS-9,shaft assembly used in the stainless mixing tank agitator for homogenization,Material=SS316; Diameter=45mm; Length=1800mm; Balance=G6.3,9,2026-03-09
SN-0010,Bearing Housing BH-10,plummer block bearing housing for the main conveyor drive shaft,Size=UCP210; Material=Cast Iron; Finish=Painted; Seal=Standard,30,2026-03-10
SN-0011,Chain Sprocket CS-11,drive sprocket used in the roller chain transmission of the secondary conveyor,Pitch=1 inch; Teeth=24; Bore=30mm; Material=C45 Steel,55,2026-03-11
SN-0012,Roller Chain RC-12,heavy-duty roller chain intended for the conveyor drive system,Pitch=1 inch; Strand=Simplex; Length=30m; Standard=ISO,10,2026-03-12
SN-0013,Electrical Junction Box EJ-13,IP-rated junction box used for field wiring terminations along the process line,Size=200x200x120mm; Material=Polycarbonate; IP=IP65; Entries=6,80,2026-03-13
SN-0014,Inductive Proximity Sensor IPS-14,metal-sensing inductive sensor used for position feedback and counting,Type=M18; Range=8mm; Output=NPN NO; Voltage=10-30VDC,90,2026-03-14
SN-0015,Cable Harness CH-15,pre-terminated cable harness used for internal control panel wiring,Cores=24; Length=6m; Conductor=1.5sqmm; Jacket=PVC,45,2026-03-15
SN-0016,Power Distribution Board PDB-16,floor-mounted distribution board for plant utility loads,Incomer=250A MCCB; Outgoing=16 Ways; Voltage=415VAC; IP=IP42,4,2026-03-16
SN-0017,Electromagnetic Flow Meter FM-17,inline flow meter used for the water dosing system in the process area,Line Size=DN50; Range=0.5-25m3/h; Output=4-20mA; Supply=230VAC,7,2026-03-17
SN-0018,Pressure Transmitter PT-18,transmitter for monitoring line pressure in the utility pipelines,Range=0-16bar; Output=4-20mA; Process=1/2 inch NPT; Accuracy=0.5%FS,22,2026-03-18
