source_email,to,from,subject,body,serial_number,item_name,item_description,item_specification,item_quantity,item_deadline
"To: production.team@factory.example.com
From: planning.officer+1@factory.example.com
Subject: Plan for Gear Assembly Batch SN-0001

Hi team,

We need to schedule a new batch under Serial Number SN-0001 for the item named ""Gear Assembly Type A1"". For clarity, the item description is: precision-cut gear assembly for the primary conveyor drive stage. Please note that the item specification is: Material=Alloy Steel; Teeth=32; Module=2.5; Diameter=80mm; Finish=Heat Treated. The required item quantity is 150 units, and the item deadline is 2026-03-01, so plan machining and inspection accordingly.

Thanks,
Production Planning",production.team@factory.example.com,planning.officer+1@factory.example.com,Plan for Gear Assembly Batch SN-0001,"Hi team,

We need to schedule a new batch under Serial Number SN-0001 for the item named ""Gear Assembly Type A1"". For clarity, the item description is: precision-cut gear assembly for the primary conveyor drive stage. Please note that the item specification is: Material=Alloy Steel; Teeth=32; Module=2.5; Diameter=80mm; Finish=Heat Treated. The required item quantity is 150 units, and the item deadline is 2026-03-01, so plan machining and inspection accordingly.

Thanks,
Production Planning",SN-0001,Gear Assembly Type A1,"precision-cut gear assembly for the primary conveyor drive stage. Please note that the item specification is: Material=Alloy Steel; Teeth=32; Module=2.5; Diameter=80mm; Finish=Heat Treated. The required item quantity is 150 units, and the item deadline is 2026-03-01, so plan machining and inspection accordingly.","Material=Alloy Steel; Teeth=32; Module=2.5; Diameter=80mm; Finish=Heat Treated. The required item quantity is 150 units, and the item deadline is 2026-03-01, so plan machining and inspection accordingly.",150,2026-03-01
"To: assembly.line1@factory.example.com
From: planning.officer+2@factory.example.com
Subject: Conveyor Belt Requirement SN-0002

Hello,

Under Serial Number SN-0002 we have an order for the item named ""Conveyor Belt Type C2"". The item description is: continuous rubber belt for the packaging line outfeed conveyor. Make sure you follow this item specification: Material=Reinforced Rubber; Length=18m; Width=800mm; Thickness=8mm; Ply=4. The committed item quantity is 40 units, and the item deadline is 2026-03-02, as confirmed with the customer.

Regards,
Planning Dept.",assembly.line1@factory.example.com,planning.officer+2@factory.example.com,Conveyor Belt Requirement SN-0002,"Hello,

Under Serial Number SN-0002 we have an order for the item named ""Conveyor Belt Type C2"". The item description is: continuous rubber belt for the packaging line outfeed conveyor. Make sure you follow this item specification: Material=Reinforced Rubber; Length=18m; Width=800mm; Thickness=8mm; Ply=4. The committed item quantity is 40 units, and the item deadline is 2026-03-02, as confirmed with the customer.

Regards,
Planning Dept.",SN-0002,Conveyor Belt Type C2,"continuous rubber belt for the packaging line outfeed conveyor. Make sure you follow this item specification: Material=Reinforced Rubber; Length=18m; Width=800mm; Thickness=8mm; Ply=4. The committed item quantity is 40 units, and the item deadline is 2026-03-02, as confirmed with the customer.",,40,2026-03-02
"To: sensors.cell@factory.example.com
From: planning.officer+3@factory.example.com
Subject: Optical Sensor Modules SN-0003

Hi,

Please start production under Serial Number SN-0003 for the item named ""Optical Sensor Module OSM-3"". The item description is: reflective optical sensor assembly used for carton detection at the infeed. The agreed item specification is: Voltage=24VDC; Range=0.2-2.0m; Output=PNP NO; IP Rating=IP65. We need an item quantity of 75 units, and the item deadline is 2026-03-03, which must be met for the new line commissioning.

Thanks,
Planning",sensors.cell@factory.example.com,planning.officer+3@factory.example.com,Optical Sensor Modules SN-0003,"Hi,

Please start production under Serial Number SN-0003 for the item named ""Optical Sensor Module OSM-3"". The item description is: reflective optical sensor assembly used for carton detection at the infeed. The agreed item specification is: Voltage=24VDC; Range=0.2-2.0m; Output=PNP NO; IP Rating=IP65. We need an item quantity of 75 units, and the item deadline is 2026-03-03, which must be met for the new line commissioning.

Thanks,
Planning",SN-0003,Optical Sensor Module OSM-3,"reflective optical sensor assembly used for carton detection at the infeed. The agreed item specification is: Voltage=24VDC; Range=0.2-2.0m; Output=PNP NO; IP Rating=IP65. We need an item quantity of 75 units, and the item deadline is 2026-03-03, which must be met for the new line commissioning.","Voltage=24VDC; Range=0.2-2.0m; Output=PNP NO; IP Rating=IP65. We need an item quantity of 75 units, and the item deadline is 2026-03-03, which must be met for the new line commissioning.",,2026-03-03
"To: panels.shop@factory.example.com
From: planning.officer+4@factory.example.com
Subject: Main Control Panels SN-0004

Team,

This mail is to confirm Serial Number SN-0004 for the item named ""Control Panel CP-4"". The item description is: main control panel for the batch mixer line including PLC and HMI. Please adhere to the following item specification: Enclosure=MS Powder Coated; PLC=32 I/O; HMI=7 inch; Supply=415VAC. The required item quantity is 6 units, and the item deadline is 2026-03-04, in line with the electrical contractor’s schedule.

Regards,
Planning Office",panels.shop@factory.example.com,planning.officer+4@factory.example.com,Main Control Panels SN-0004,"Team,

This mail is to confirm Serial Number SN-0004 for the item named ""Control Panel CP-4"". The item description is: main control panel for the batch mixer line including PLC and HMI. Please adhere to the following item specification: Enclosure=MS Powder Coated; PLC=32 I/O; HMI=7 inch; Supply=415VAC. The required item quantity is 6 units, and the item deadline is 2026-03-04, in line with the electrical contractor’s schedule.

Regards,
Planning Office",SN-0004,Control Panel CP-4,"main control panel for the batch mixer line including PLC and HMI. Please adhere to the following item specification: Enclosure=MS Powder Coated; PLC=32 I/O; HMI=7 inch; Supply=415VAC. The required item quantity is 6 units, and the item deadline is 2026-03-04, in line with the electrical contractor’s schedule.",,6,2026-03-04
"To: motor.assembly@factory.example.com
From: planning.officer+5@factory.example.com
Subject: Motor Assemblies for Conveyor SN-0005

Hi team,

We are releasing Serial Number SN-0005 covering the item named ""Induction Motor Assembly IM-5"". The item description is: three-phase induction motor supplied with mounting brackets and terminal box. As discussed, the item specification is: Power=5kW; Voltage=415VAC; Speed=1440rpm; Frame=112M; Protection=IP55. Please produce an item quantity of 24 units, and keep in mind that the item deadline is 2026-03-05 to match mechanical installation.

Thanks,
Planning",motor.assembly@factory.example.com,planning.officer+5@factory.example.com,Motor Assemblies for Conveyor SN-0005,"Hi team,

We are releasing Serial Number SN-0005 covering the item named ""Induction Motor Assembly IM-5"". The item description is: three-phase induction motor supplied with mounting brackets and terminal box. As discussed, the item specification is: Power=5kW; Voltage=415VAC; Speed=1440rpm; Frame=112M; Protection=IP55. Please produce an item quantity of 24 units, and keep in mind that the item deadline is 2026-03-05 to match mechanical installation.

Thanks,
Planning",SN-0005,Induction Motor Assembly IM-5,"three-phase induction motor supplied with mounting brackets and terminal box. As discussed, the item specification is: Power=5kW; Voltage=415VAC; Speed=1440rpm; Frame=112M; Protection=IP55. Please produce an item quantity of 24 units, and keep in mind that the item deadline is 2026-03-05 to match mechanical installation.","Power=5kW; Voltage=415VAC; Speed=1440rpm; Frame=112M; Protection=IP55. Please produce an item quantity of 24 units, and keep in mind that the item deadline is 2026-03-05 to match mechanical installation.",,2026-03-05
"To: pneumatics.cell@factory.example.com
From: planning.officer+6@factory.example.com
Subject: Double-Acting Cylinders SN-0006

Hello team,

Kindly plan for Serial Number SN-0006 associated with the item named ""Pneumatic Cylinder PC-6"". The item description is: double-acting pneumatic cylinder used in the pusher mechanism on the packaging line. The required item specification is: Bore=50mm; Stroke=200mm; Pressure=6bar; Mounting=Front Flange. We need an item quantity of 60 units, and the item deadline is 2026-03-06, so please align with stores for material availability.

Best,
Production Planning",pneumatics.cell@factory.example.com,planning.officer+6@factory.example.com,Double-Acting Cylinders SN-0006,"Hello team,

Kindly plan for Serial Number SN-0006 associated with the item named ""Pneumatic Cylinder PC-6"". The item description is: double-acting pneumatic cylinder used in the pusher mechanism on the packaging line. The required item specification is: Bore=50mm; Stroke=200mm; Pressure=6bar; Mounting=Front Flange. We need an item quantity of 60 units, and the item deadline is 2026-03-06, so please align with stores for material availability.

Best,
Production Planning",SN-0006,Pneumatic Cylinder PC-6,"double-acting pneumatic cylinder used in the pusher mechanism on the packaging line. The required item specification is: Bore=50mm; Stroke=200mm; Pressure=6bar; Mounting=Front Flange. We need an item quantity of 60 units, and the item deadline is 2026-03-06, so please align with stores for material availability.","Bore=50mm; Stroke=200mm; Pressure=6bar; Mounting=Front Flange. We need an item quantity of 60 units, and the item deadline is 2026-03-06, so please align with stores for material availability.",,2026-03-06
"To: pneumatics.cell@factory.example.com
From: planning.officer+7@factory.example.com
Subject: Valve Manifolds for New Line SN-0007

Hi,

This is to confirm Serial Number SN-0007 for the item named ""Valve Manifold VM-7"". The item description is: solenoid valve manifold used for the pneumatic control circuits of the new filling line. Please build according to this item specification: Stations=8; Voltage=24VDC; Port Size=1/4 inch; Body=Aluminum. The planned item quantity is 18 units, and the item deadline is 2026-03-07, as per the commissioning plan.

Regards,
Planning",pneumatics.cell@factory.example.com,planning.officer+7@factory.example.com,Valve Manifolds for New Line SN-0007,"Hi,

This is to confirm Serial Number SN-0007 for the item named ""Valve Manifold VM-7"". The item description is: solenoid valve manifold used for the pneumatic control circuits of the new filling line. Please build according to this item specification: Stations=8; Voltage=24VDC; Port Size=1/4 inch; Body=Aluminum. The planned item quantity is 18 units, and the item deadline is 2026-03-07, as per the commissioning plan.

Regards,
Planning",SN-0007,Valve Manifold VM-7,"solenoid valve manifold used for the pneumatic control circuits of the new filling line. Please build according to this item specification: Stations=8; Voltage=24VDC; Port Size=1/4 inch; Body=Aluminum. The planned item quantity is 18 units, and the item deadline is 2026-03-07, as per the commissioning plan.",,18,2026-03-07
"To: fabrication.shop@factory.example.com
From: planning.officer+8@factory.example.com
Subject: Mixing Tanks Requirement SN-0008

Dear Fabrication Team,

We are initiating Serial Number SN-0008 for the item named ""Stainless Steel Tank ST-8"". The item description is: mixing tank for liquid ingredients with a top-mounted agitator and cleanable interior. The relevant item specification is: Capacity=1000L; Grade=SS304; Thickness=4mm; Finish=Sanitary. Please fabricate an item quantity of 3 units, ensuring that the item deadline is 2026-03-08 to support the pilot batch trials.

Thanks,
Planning",fabrication.shop@factory.example.com,planning.officer+8@factory.example.com,Mixing Tanks Requirement SN-0008,"Dear Fabrication Team,

We are initiating Serial Number SN-0008 for the item named ""Stainless Steel Tank ST-8"". The item description is: mixing tank for liquid ingredients with a top-mounted agitator and cleanable interior. The relevant item specification is: Capacity=1000L; Grade=SS304; Thickness=4mm; Finish=Sanitary. Please fabricate an item quantity of 3 units, ensuring that the item deadline is 2026-03-08 to support the pilot batch trials.

Thanks,
Planning",SN-0008,Stainless Steel Tank ST-8,"mixing tank for liquid ingredients with a top-mounted agitator and cleanable interior. The relevant item specification is: Capacity=1000L; Grade=SS304; Thickness=4mm; Finish=Sanitary. Please fabricate an item quantity of 3 units, ensuring that the item deadline is 2026-03-08 to support the pilot batch trials.","Capacity=1000L; Grade=SS304; Thickness=4mm; Finish=Sanitary. Please fabricate an item quantity of 3 units, ensuring that the item deadline is 2026-03-08 to support the pilot batch trials.",,2026-03-08
"To: fabrication.shop@factory.example.com
From: planning.officer+9@factory.example.com
Subject: Agitator Shaft Production SN-0009

Hi team,

Under Serial Number SN-0009 we have an order for the item named ""Agitator Shaft AS-9"". The item description is: shaft assembly used in the stainless mixing tank agitator for homogenization. Please respect the item specification: Material=SS316; Diameter=45mm; Length=1800mm; Balance=G6.3. The requested item quantity is 9 units, and the item deadline is 2026-03-09, which is critical for tank assembly.

Regards,
Planning Dept.",fabrication.shop@factory.example.com,planning.officer+9@factory.example.com,Agitator Shaft Production SN-0009,"Hi team,

Under Serial Number SN-0009 we have an order for the item named ""Agitator Shaft AS-9"". The item description is: shaft assembly used in the stainless mixing tank agitator for homogenization. Please respect the item specification: Material=SS316; Diameter=45mm; Length=1800mm; Balance=G6.3. The requested item quantity is 9 units, and the item deadline is 2026-03-09, which is critical for tank assembly.

Regards,
Planning Dept.",SN-0009,Agitator Shaft AS-9,"shaft assembly used in the stainless mixing tank agitator for homogenization. Please respect the item specification: Material=SS316; Diameter=45mm; Length=1800mm; Balance=G6.3. The requested item quantity is 9 units, and the item deadline is 2026-03-09, which is critical for tank assembly.",,9,2026-03-09
"To: machining.cell@factory.example.com
From: planning.officer+10@factory.example.com
Subject: Bearing Housings for Drive SN-0010

Hello,

Please schedule Serial Number SN-0010 for the item named ""Bearing Housing BH-10"". The item description is: plummer block bearing housing for the main conveyor drive shaft. As per design, the item specification is: Size=UCP210; Material=Cast Iron; Finish=Painted; Seal=Standard. We require an item quantity of 30 units, and the item deadline is 2026-03-10 to maintain the assembly timeline.

Best regards,
Planning",machining.cell@factory.example.com,planning.officer+10@factory.example.com,Bearing Housings for Drive SN-0010,"Hello,

Please schedule Serial Number SN-0010 for the item named ""Bearing Housing BH-10"". The item description is: plummer block bearing housing for the main conveyor drive shaft. As per design, the item specification is: Size=UCP210; Material=Cast Iron; Finish=Painted; Seal=Standard. We require an item quantity of 30 units, and the item deadline is 2026-03-10 to maintain the assembly timeline.

Best regards,
Planning",SN-0010,Bearing Housing BH-10,"plummer block bearing housing for the main conveyor drive shaft. As per design, the item specification is: Size=UCP210; Material=Cast Iron; Finish=Painted; Seal=Standard. We require an item quantity of 30 units, and the item deadline is 2026-03-10 to maintain the assembly timeline.","Size=UCP210; Material=Cast Iron; Finish=Painted; Seal=Standard. We require an item quantity of 30 units, and the item deadline is 2026-03-10 to maintain the assembly timeline.",,2026-03-10
